item_number,description,order_unit,items_per_case,usable_unit,notes
AJW24,CUP PAPER 32OZ 600,15/40CNTDQ,600,cup,
P5734,WIPER FDSVC 13x24 1 PLY,1/150CNTTORK,150,wiper,
AR304,"STRAW PLST 8.25"" CLR WRP",16/500,8000,straw,
P8362,CARRIER 4 CUP FIBER,2/150CNTSTHDCN,300,carrier,
VJ124,"SPOON SODA 8"" RED",1/2000,2000,spoon,
C1466,NAPKIN 8.5x13 XPRESSNAP,12/500,6000,napkin,
H9872,SAUCE BBQ DIPPING CUP,108/2 OZ,216,cup,
HA114,SAUCE HONEY MUSTARD,108/2 OZ,216,cup,
A9956,SAUCE MARINARA DIP CUP,60/2 OZ,120,cup,
TK006,MAYONNAISE 256,8/32 OZ,256,oz,
GJ060,SAUCE FLAMETHROWER 288,12/24 OZ,288,oz,
MV956,DRESSING MIX RNCH ORIGSES,12/8 OZ,96,oz,
11778,MAYONNAISE PACKET 200 1 EA .079,200/12GM,2400,packet,
18072,KETCHUP PC FOIL PKT,1000/9GM,9000,packet,
12108,KETCHUP FANCY VOL-PAK,1/3 GAL,1536,dollops ,
AHC24,BAG DELIVERY ROPE HNDL,1/250CNT,250,bag,
AFN08,CONTAINER STACK BURGER,6/95 CNT,570,container,
AFN04,CONTAINER HOT DOG 500,1/500CNT,500,container,
AFT16,FRY TUB REG,10/100,1000,tub,
F1754,SAUCE QUESO FOR PRETZEL,6/106 OZ,636,oz,
DK586,OIL FRYING CLR,1/35 LB,?,lb,we know this 
EB616,SALT IODIZED ROUND,24/26 OZ,624,oz,
HG732,LID PLST DOME DUAL CLR,1/1000,1000,lid,
AFF72,CUP PLAS 12OZ CLR,10/70CNT,700,cup,
AFF78,CUP 24 OZ CLR,10/60CNT,600,cup,
P8440,LID CUP PLST 16-24 OZ DME,12/75CNT,900,lid,
V1226,CONE CAKE SMALL JACKETED,30/25CNT,750,cone,
V1230,CONE CAKE LARGE JACKETED,16/20CNT,320,cone,
P1444,COLLAR CUP DISPOSABLE,1/1000,1000,collar,
P7620,HOT FUDGE W/ FITMENT,12/48 OZ,576,oz,
